municipality_id,municipality_name,port_id,port_name,landing_site_id,longitude,latitude
02005,PLAYAS DE ROSARITO,02001,ROSARITO,NA,-117.0731,32.3692
02001,ENSENADA,02002,LA MISION,NA,-116.8801,32.055
02001,ENSENADA,02003,El SAUZAL,02A,-116.7043,31.8944
02001,ENSENADA,02004,MARINA CORAL,NA,-116.6612,31.8622
02001,ENSENADA,02005,ENSENADA,02B,-116.6258,31.8522
02001,ENSENADA,02006,PUNTA CHINA,NA,-116.6437,31.5176
02001,ENSENADA,02007,SAN QUITIN,NA,-115.979,30.4823
02001,ENSENADA,02008,VENUSTIANO CARRANZA,NA,-114.119,28.0365
02001,ENSENADA,02009,ISLA CEDROS,02C,-115.185,28.0958
02002,MEXICALI,02010,SAN FELLIPE,NA,-114.82470000000001,30.9949
02001,ENSENADA,02011,PUERTECITOS,NA,-114.6386,30.3438
02002,ENSENADA,02012,BAHIA DE LOS ANGELES,NA,-113.5528,28.9479
03002,MULEGE,03001,GURRERO NEGRO,03L,-114.1378,27.8969
03001,COMONDU,03002,A. LOPEZ MATEOS,03D,-112.1151,25.1887
03001,COMONDU,03003,SAN CARLOS,03B,-112.1206,24.7863
03001,COMONDU,03004,PUERTO CORTES,NA,-111.8198,24.4747
03001,COMONDU,03005,PUERTO ALCATRAZ,03C,-111.8437,24.5054
03008,LOS CABOS,03006,SAN JOSE DEL CABO,NA,-109.6917,23.0573
03008,LOS CABOS,03007,CABO SAN LUCAS,03E,-109.9085,22.8806
03002,MULEGE,03008,SANTA MARIA,NA,-112.3136,27.4332
03002,MULEGE,03009,SANTA ROSALIA,03H,-112.2634,27.3391
03002,MULEGE,03010,ISLA SAN MARCOS,NA,-112.0858,27.1907
03002,MULEGE,03011,MULEGE,NA,-111.9513,26.8963
03002,MULEGE,03012,BAHIA CONCEPCION,NA,-111.7524,26.607
03009,LORETO,03013,LORETO,NA,-111.3393,26.015
03009,LORETO,03014,NOPOLO,NA,-111.3549,25.9352
03009,LORETO,03015,PUERTO ESCONDIDO,NA,-111.3143,25.8134
03003,LA PAZ,03016,SAN JUAN DE LA COSTA,NA,-110.6828,24.3947
03003,LA PAZ,03017,PICHILINGUE,03F,-110.3294,24.2752
03003,LA PAZ,03018,LA PAZ,03G,-110.3263,24.1551
03003,LA PAZ,03019,PUNTA PRIETA,NA,-110.3126,24.2203
03003,LA PAZ,03020,LOS  BARRILES,NA,-109.6958,23.682
04004,CHAMPOTON,04001,SEYBAPLAYA,NA,-90.7084,19.6518
04002,CAMPECHE,04002,CAYO DE ARCAS,NA,-91.9662,20.1972
04002,CAMPECHE,04003,CAMPECHE,04D,-90.5818,19.8289
04004,CHAMPOTON,04004,CHAMPOTON,NA,-90.7215,19.358
04004,CHAMPOTON,04005,SABANCUY,NA,-91.1854,18.9951
04003,CARMEN,04006,ISLA AGUADA,NA,-91.4917,18.781
04003,CARMEN,04007,PUERTO REAL,NA,-91.5301,18.7769
04003,CARMEN,04008,CIUDAD DE CARMEN,04A,-91.8484,18.6469
04001,CALKINI,04009,ISLA ARENA CALKINI,NA,-90.4526,20.6887
04003,CARMEN,04010,BAHAMITAS,NA,-91.6972,18.6991
04003,CARMEN,04011,ARROYO GRANDE,NA,-91.8237,18.6319
06007,MANZANILLO,06001,LAS HADAS,NA,-104.3455,19.0992
06007,MANZANILLO,06002,PUERTO INTERIOR SAN PEDRITO,NA,-104.2955,19.0647
06001,ARMERIA,06003,MANZANILLO,06A,-104.3138,19.0575
06007,MANZANILLO,06004,LAGUNA DE CUYUTLAN,NA,-104.2562,18.9981
07089,TAPACHULA,07001,PUERTO MADERO,07A,-92.4043,14.7045
07054,MAZATAN,07002,SAN JOSE MAZATAN,NA,-92.6242,14.9212
12038,JOSE AZUETA,12001,IXTAPA,NA,-101.6207,17.6631
12038,JOSE AZUETA,12002,ZIHUATANEJO,NA,-101.5588,17.6351
12057,TECPAN DE GALEANA,12003,PUERTO VICENTE GUERRERO,NA,-101.0564,17.2761
12001,ACAPULCO DE JUAREZ,12004,ACAPULCO,NA,-99.905,16.8392
12001,ACAPULCO DE JUAREZ,12005,PUERTO MARQUEZ,NA,-99.8386,16.7961
14067,PUERTO VALLARTA,14001,PUERTO VALLARTA,14A,-105.2435,20.6561
14022,CIHUATLAN,14002,BARA NAVIDAD,NA,-104.6841,19.1992
16052,LAZARO CARDENAS,16001,LAZARO CARDENAS,NA,-102.1786,17.9339
18015,SANTIAGO IXCUINTLA,18001,MEXCALTITLAN,NA,-105.4754,21.9054
18012,SAN BLAS,18002,PUERTO BALLETO,NA,-106.5362,21.6346
18012,SAN BLAS,18003,SAN BLAS,18A,-105.2921,21.5412
18004,COMPOSTELA,18004,CHACALA,NA,-105.2279,21.1653
18020,BAHIA DE BANDERAS,18005,CRUZ DE HUANACAXTLE,18B,-105.3802,20.7475
18020,BAHIA DE BANDERAS,18006,NUEVO VALLARATA,NA,-105.2918,20.6913
20324,SAN PEDRO POCHUTLA,20001,PUERTO ANGEL,20A,-96.4929,15.6649
20079,SALINA CRUZ,20002,SALINA CRUZ,20B,-95.1968,16.1645
20413,SANTA MARIA HUATULCO,20003,"MARINA STA CRUZ, HUATULCO",NA,-96.129,15.7527
20413,SANTA MARIA HUATULCO,20004,"BAHIA CHAHUE, HUATULCO",NA,-96.1206,15.7592
20334,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO,20005,LA PASTORIA,NA,-97.5572,15.9836
20001,ABEJONES,20006,PUERTO ESCONDIDO,NA,-97.0637,15.8596
20413,SANTA MARIA HUATULCO,20007,MARINA STA. CRUZ-HUATULCO,NA,-96.131,15.7541
23001,COZUMEL,23001,CHIQUILA,NA,-87.3371,21.4338
23007,CARDENAS,23002,HOLBOX,NA,-87.386,21.5211
23003,ISLA MUJERES,23003,PUNTA SAM,NA,-86.8006,21.2225
23005,BENITO JUAREZ,23004,PUERTO JUAREZ,23E,-86.8056,21.1831
23001,COZUMEL,23005,ISLA MUJERES,23B,-86.7436,21.2429
23005,BENITO JUAREZ,23006,CANCUN,NA,-86.7616,21.1384
23005,BENITO JUAREZ,23007,PUERTO MORELOS,23F,-86.8794,20.8414
23008,SOLIDARIDAD,23008,PLAYA DEL CARMEN,NA,-87.0714,20.6259
23001,COZUMEL,23009,BANCO PLAYA,NA,-86.9409,20.5274
23001,COZUMEL,23010,COZUMEL,NA,-86.9551,20.5092
23001,COZUMEL,23011,PUNTA VENADO (CALICA),NA,-87.1256,20.5715
