landing_site,landing_site_key,n_vessels,port_id,port_name,note
MAZATLAN,25D,629,25004,MAZATLAN,
YUCALPETEN,31B,558,31004,YUKALPETEN,
PROGRESO,31G,266,31005,PROGRESO,
GUAYMAS,26C,263,26007,GUAYMAS,
TAMPICO,28D,229,28008,TAMPICO,
PUERTO PENASCO,26B,174,26002,PUERTO PENASCO,
TOPOLOBAMPO,25A,150,25001,TOPOLOBAMPO,
PUERTO MADERO,07A,126,7001,PUERTO MADERO,
PUERTO PEÑASCO,26B,94,26002,PUERTO PENASCO,
YAVAROS,26E,83,26008,YAVAROS,
ENSENADA,02B,75,2005,ENSENADA,
LERMA,04B,74,,,
BAHIA DE KINO,26F,73,,,
CAMPECHE,04D,68,4003,CAMPECHE,
PARAJE NUEVO,26D,68,,,
SAN CARLOS,03B,62,3003,COMONDU,
EL SAUZAL,02A,59,2003,EL SAUZAL,
TUXPAN,30C,49,30002,TUXPAN,
SALINA CRUZ,20B,46,20002,SALINA CRUZ,
PUERTO DE ABRIGO,110,44,,,
ALVARADO,30G,41,30004,ALVARDO,
FRONTERA,27B,39,27003,FRONTERA,
CELESTUM,31A,36,31001,CELESTUN ,
SAN FELIPE,02D,32,31009,SAN FELIPE,
MANZANILLO,06A,28,6003,MANZANILLO,
DZILAM DE BRAVO,31D,26,31008,DZILAM DE BRAVO ,
CHIAPAS,07C,21,,,
PUERTO JUAREZ,23E,21,23004,PUERTO JUAREZ,
TELCHAC,31C,21,31006,TELCHAC,
COATZACOALCOS,30F,19,30001,COATZACOALCOS,
PTO. IND. PESQ. LAGUNA AZUL,04C,15,,,
SAN FELIPE,31E,13,31009,SAN FELIPE,
CIUDAD DEL CARMEN,04A,11,4008,CIUDAD DE CARMEN,
SAN BLAS,18A,11,18003,SAN BLAS,
RIO LAGARTOS,31F,9,31010,RIO LAGARTOS,
PUERTO CEIBA,27C,7,,,
PUERTO EXTRANJERO,PEX,7,,,
SANTA ROSALIA,03H,7,3009,SANTA ROSALIA,
VERACRUZ,30D,7,30003,VERACRUZ,
GOLFO DE SANTA CLARA,26A,6,26001,GOLFO DE SANTA CLARA,
GUERRERO NEGRO,03L,6,3001,GURRERO NEGRO,
PTO ADOLFO LOPEZ MATEOS,03D,6,3002,A. LOPEZ MATEOS,
PUERTO ANGEL,20A,6,20001,PUERTO ANGEL,
EL CASTILLO,25C,5,,,
ISLA CEDROS,02C,5,2009,ISLA CEDROS,
MOLINO VIEJO,02F,5,,,
BAHIA ASUNCION,03J,3,,,we have 'bahia conception'
CRUZ DE HUANACAXTLE,18B,3,18005,CRUZ DE HUANACAXTLE,
LA REFORMA,25B,3,25002,LA REFORMA,
MATANCITAS,03A,3,,,
PICHILINGUE,03F,3,3017,PICHILINGUE,
ROSALILLITA,02E,3,,,
EL CUYO,31H,2,31011,EL CUYO,
EL MEZQUITAL,28A,2,28001,EL MEZQUITAL,
HIGUERILLAS,28F,2,,,
LA PAZ,03G,2,3018,LA PAZ,
PUNTA ABREOJOS,03M,2,,,
SAN LUCAS,03E,2,3007,CABO SAN LUCAS,
"TEACAPAN, SIN.",25E,2,25005,TEACAPAN,
BAHIA TORTUGAS,03I,1,,,
CHETUMAL,23D,1,23017,CHETUMAL ,
ISLA MUJERES,23B,1,23005,ISLA MUJERES,
LA CORTINA,13C,1,,,
PUERTO ALCATRAZ,03C,1,3005,PUERTO ALCATRAZ,
PUERTO MORELOS,23F,1,23007,PUERTO MORELOS,
PUERTO VALLARTA,14A,1,14001,PUERTO VALLARTA,
SANCHEZ MAGALLANES,27A,1,27001,SANCHEZ MAGALLANES,
TAMIAHUA,30A,1,30015,TAMIAHUA-BARRA DE CORAZONES ,
