,port_id ,municipality_code ,municipality_name ,port_name ,longitude,latitude
1,2001,2005,PLAYAS DE ROSARITO ,ROSARITO ,-117.0731,32.3692
2,2002,2001,ENSENADA,LA MISION,-116.8801,32.055
3,2003,2001,ENSENADA,El SAUZAL,-116.7043,31.8944
4,2004,2001,ENSENADA,MARINA CORAL,-116.6612,31.8622
5,2005,2001,ENSENADA,ENSENADA,-116.6258,31.8522
6,2006,2001,ENSENADA,PUNTA CHINA,-116.6437,31.5176
7,2007,2001,ENSENADA,SAN QUITIN,-115.979,30.4823
8,2008,2001,ENSENADA,VENUSTIANO CARRANZA ,-114.119,28.0365
9,2009,2001,ENSENADA,ISLA CEDROS,-115.185,28.0958
10,2010,2002,MEXICALI,SAN FELLIPE,-114.8247,30.9949
11,2011,2001,ENSENADA,PUERTECITOS,-114.6386,30.3438
12,2012,2002,ENSENADA,BAHIA DE LOS ANGELES,-113.5528,28.9479
13,3001,3002,MULEGE,GURRERO NEGRO,-114.1378,27.8969
14,3002,3001,COMONDU,A. LOPEZ MATEOS,-112.1151,25.1887
15,3003,3001,COMONDU,SAN CARLOS,-112.1206,24.7863
16,3004,3001,COMONDU,PUERTO CORTES,-111.8198,24.4747
17,3005,3001,COMONDU,PUERTO ALCATRAZ,-111.8437,24.5054
18,3006,3008,LOS CABOS,SAN JOSE DEL CABO,-109.6917,23.0573
19,3007,3008,LOS CABOS,CABO SAN LUCAS,-109.9085,22.8806
20,3008,3002,MULEGE,SANTA MARIA,-112.3136,27.4332
21,3009,3002,MULEGE,SANTA ROSALIA,-112.2634,27.3391
22,3010,3002,MULEGE,ISLA SAN MARCOS,-112.0858,27.1907
23,3011,3002,MULEGE,MULEGE,-111.9513,26.8963
24,3012,3002,MULEGE,BAHIA CONCEPCION,-111.7524,26.607
25,3013,3009,LORETO,LORETO,-111.3393,26.015
26,3014,3009,LORETO,NOPOLO,-111.3549,25.9352
27,3015,3009,LORETO,PUERTO ESCONDIDO,-111.3143,25.8134
28,3016,3003,LA PAZ,SAN JUAN DE LA COSTA,-110.6828,24.3947
29,3017,3003,LA PAZ,PICHILINGUE,-110.3294,24.2752
30,3018,3003,LA PAZ,LA PAZ,-110.3263,24.1551
31,3019,3003,LA PAZ,PUNTA PRIETA,-110.3126,24.2203
32,3020,3003,LA PAZ,LOS  BARRILES,-109.6958,23.682
33,4001,4004,CHAMPOTON,SEYBAPLAYA,-90.7084,19.6518
34,4002,4002,CAMPECHE,CAYO DE ARCAS,-91.9662,20.1972
35,4003,4002,CAMPECHE,CAMPECHE,-90.5818,19.8289
36,4004,4004,CHAMPOTON,CHAMPOTON,-90.7215,19.358
37,4005,4004,CHAMPOTON,SABANCUY,-91.1854,18.9951
38,4006,4003,CARMEN,ISLA AGUADA,-91.4917,18.781
39,4007,4003,CARMEN,PUERTO REAL,-91.5301,18.7769
40,4008,4003,CARMEN,CIUDAD DE CARMEN,-91.8484,18.6469
41,4009,4001,CALKINI,ISLA ARENA CALKINI,-90.4526,20.6887
42,4010,4003,CARMEN,BAHAMITAS,-91.6972,18.6991
43,4011,4003,CARMEN,ARROYO GRANDE,-91.8237,18.6319
44,6001,6007,MANZANILLO,LAS HADAS,-104.3455,19.0992
45,6002,6007,MANZANILLO,PUERTO INTERIOR SAN PEDRITO,-104.2955,19.0647
46,6003,6001,ARMERIA,MANZANILLO,-104.3138,19.0575
47,6004,6007,MANZANILLO,LAGUNA DE CUYUTLAN,-104.2562,18.9981
48,7001,7089,TAPACHULA,PUERTO MADERO,-92.4043,14.7045
49,7002,7054,MAZATAN,SAN JOSE MAZATAN,-92.6242,14.9212
50,12001,12038,JOSE AZUETA,IXTAPA,-101.6207,17.6631
51,12002,12038,JOSE AZUETA,ZIHUATANEJO ,-101.5588,17.6351
52,12003,12057,TECPAN DE GALEANA ,PUERTO VICENTE GUERRERO ,-101.0564,17.2761
53,12004,12001,ACAPULCO DE JUAREZ ,ACAPULCO,-99.905,16.8392
54,12005,12001,ACAPULCO DE JUAREZ ,PUERTO MARQUEZ,-99.8386,16.7961
55,14001,14067,PUERTO VALLARTA,PUERTO VALLARTA,-105.2435,20.6561
56,14002,14022,CIHUATLAN,BARA NAVIDAD,-104.6841,19.1992
57,14003,14030,CHAPALA,CHAPALA,-103.1941,20.2876
58,14004,14030,CHAPALA,AJIJIC,-103.263,20.2964
59,16001,16052,LAZARO CARDENAS,LAZARO CARDENAS,-102.1786,17.9339
60,16002,16001,ACUITZIO,LAGO DE PATZCUARO,-101.6191,19.5469
61,16003,16079,SALVADOR ESCALANTE,ZIRAHUEN,-101.7312,19.4524
62,18001,18015,SANTIAGO IXCUINTLA ,MEXCALTITLAN ,-105.4754,21.9054
63,18002,18012,SAN BLAS,PUERTO BALLETO,-106.5362,21.6346
64,18003,18012,SAN BLAS,SAN BLAS,-105.2921,21.5412
65,18004,18004,COMPOSTELA,CHACALA,-105.2279,21.1653
66,18005,18020,BAHIA DE BANDERAS,CRUZ DE HUANACAXTLE ,-105.3802,20.7475
67,18006,18020,BAHIA DE BANDERAS,NUEVO VALLARATA,-105.2918,20.6913
68,20001,20324,SAN PEDRO POCHUTLA,PUERTO ANGEL,-96.4929,15.6649
69,20002,20079,SALINA CRUZ,SALINA CRUZ,-95.1968,16.1645
70,20003,20413,SANTA MARIA HUATULCO ,"MARINA STA CRUZ, HUATULCO ",-96.129,15.7527
71,20004,20413,SANTA MARIA HUATULCO ,"BAHIA CHAHUE, HUATULCO",-96.1206,15.7592
72,20005,20334,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO ,LA PASTORIA,-97.5572,15.9836
73,20006,20001,ABEJONES,PUERTO ESCONDIDO,-97.0637,15.8596
74,20007,20413,SANTA MARIA HUATULCO ,MARINA STA. CRUZ-HUATULCO ,-96.131,15.7541
75,23001,23001,COZUMEL,CHIQUILA,-87.3371,21.4338
76,23002,23007,CARDENAS,HOLBOX,-87.386,21.5211
